Level	Date and Time	User	Category	Description	
Information	03/09/2013 10:58:49	administrator	System	Data Forwarding: 172.18.50.148:5858 is disconnected.	
Information	03/09/2013 10:56:38	administrator	System	Data Forwarding: 172.18.50.148:5858 is connected.	
Information	03/09/2013 10:56:38	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.148:5858 passed authorization and logon.	
Information	03/09/2013 10:55:22	administrator	System	Data Forwarding: 172.18.50.148:63373 is connected.	
Information	03/09/2013 10:55:22	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.148:63373 passed authorization and logon.	
Information	03/09/2013 10:54:15	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.148:63332 logoff.	
Information	03/09/2013 10:54:15	administrator	System	Data Forwarding: 172.18.50.148:63332 is disconnected.	
Information	03/09/2013 10:54:12	administrator	System	Data Forwarding: 172.18.50.148:63332 is connected.	
Information	03/09/2013 10:54:12	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.148:63332 passed authorization and logon.	
Information	03/09/2013 10:53:09	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.148:63215 logoff.	
Information	03/09/2013 10:53:09	administrator	System	Data Forwarding: 172.18.50.148:63215 is disconnected.	
Information	03/09/2013 10:52:45	administrator	System	Data Forwarding: 172.18.50.148:63215 is connected.	
Information	03/09/2013 10:52:45	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.148:63215 passed authorization and logon.	
Information	03/09/2013 10:52:22	administrator	System	Router(F082000008) goes online.	
Information	03/09/2013 10:52:22	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	03/09/2013 10:52:22	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Alarm	03/09/2013 10:51:48	administrator	System	Router(F082000008) is offline.	
Alarm	03/09/2013 10:49:48	administrator	System	ToxiRAE Pro(G021200BN2) is offline.	
Alarm	03/09/2013 10:49:48	administrator	System	ToxiRAE Pro(G021001237) is offline.	
Alarm	03/09/2013 10:48:47	administrator	System	ToxiRAE Pro(G021000014) is offline.	
Alarm	03/09/2013 10:47:48	administrator	System	ToxiRAE Pro(G0212006P2) is offline.	
Alarm	03/09/2013 10:46:47	administrator	System	ToxiRAE Pro(G021001241) is offline.	
Information	03/09/2013 10:28:06	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-sw-hbzhang at IP address 172.18.50.148:62643 logoff.	
Information	03/09/2013 10:28:06	administrator	System	Data Forwarding: 172.18.50.148:62643 is disconnected.	
Information	03/09/2013 10:27:24	administrator	System	Data Forwarding: 172.18.50.148:62643 is connected.	
Information	03/09/2013 10:27:24	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-sw-hbzhang at IP address 172.18.50.148:62643 passed authorization and logon.	
Information	03/09/2013 10:25:09	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-sw-hbzhang at IP address 172.18.50.148:62564 logoff.	
Information	03/09/2013 10:25:09	administrator	System	Data Forwarding: 172.18.50.148:62564 is disconnected.	
Information	03/09/2013 10:24:27	administrator	System	Data Forwarding: 172.18.50.148:62564 is connected.	
Information	03/09/2013 10:24:27	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-sw-hbzhang at IP address 172.18.50.148:62564 passed authorization and logon.	
Information	03/09/2013 10:19:41	administrator	System	ToxiRAE Pro(G021001241) goes online.	
Alarm	03/09/2013 10:19:41	administrator	System	ToxiRAE Pro(G021001241) is in alarm: [CO: CAL ]	
Information	03/09/2013 10:00:39	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	03/09/2013 10:00:39	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	03/09/2013 09:39:07	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:1479 logoff.	
Information	03/09/2013 09:39:07	administrator	System	Data Forwarding: 172.18.50.81:1479 is disconnected.	
Information	03/09/2013 09:10:42	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-sw-hbzhang at IP address 172.18.50.148:60272 logoff.	
Information	03/09/2013 09:10:42	administrator	System	Data Forwarding: 172.18.50.148:60272 is disconnected.	
Information	03/09/2013 09:09:48	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	03/09/2013 09:09:47	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Alarm	03/09/2013 08:59:48	administrator	System	ToxiRAE Pro(G021001241) is offline.	
Information	03/09/2013 08:48:10	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-sw-hbzhang at IP address 172.18.50.148:60272 passed authorization and logon.	
Information	03/09/2013 08:48:09	administrator	System	Data Forwarding: 172.18.50.148:60272 is connected.	
Information	03/09/2013 08:48:01	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-sw-hbzhang at IP address 172.18.50.148:60267 logoff.	
Information	03/09/2013 08:48:01	administrator	System	Data Forwarding: 172.18.50.148:60267 is disconnected.	
Information	03/09/2013 08:47:59	administrator	System	Data Forwarding: 172.18.50.148:60267 is connected.	
Information	03/09/2013 08:47:59	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-sw-hbzhang at IP address 172.18.50.148:60267 passed authorization and logon.	
Information	03/09/2013 08:46:54	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-sw-hbzhang at IP address 172.18.50.148:59835 logoff.	
Information	03/09/2013 08:46:54	administrator	System	Data Forwarding: 172.18.50.148:59835 is disconnected.	
Information	03/09/2013 08:46:53	administrator	System	ToxiRAE Pro(G021001237) goes online.	
Alarm	03/09/2013 08:46:53	administrator	System	ToxiRAE Pro(G021001237) is in alarm: [LEL: NEG ]	
Alarm	03/09/2013 08:46:48	administrator	System	ToxiRAE Pro(G021001237) is offline.	
Information	03/09/2013 08:32:48	administrator	System	Data Forwarding: 172.18.50.148:59835 is connected.	
Information	03/09/2013 08:32:48	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-sw-hbzhang at IP address 172.18.50.148:59835 passed authorization and logon.	
Alarm	03/09/2013 08:26:48	administrator	System	Router(F082000000) is offline.	
Alarm	03/09/2013 08:23:48	administrator	System	MultiRAE Pro(0000005678) is offline.	
Information	03/09/2013 08:12:20	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	03/09/2013 08:12:19	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	03/09/2013 07:21:01	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	03/09/2013 07:21:01	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	03/09/2013 05:22:32	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	03/09/2013 05:22:32	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	03/09/2013 04:32:40	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	03/09/2013 04:32:40	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	03/09/2013 01:39:54	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	03/09/2013 01:39:54	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	02/09/2013 21:41:22	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	02/09/2013 21:41:22	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	02/09/2013 20:42:23	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	02/09/2013 20:42:23	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	02/09/2013 19:44:39	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	02/09/2013 19:44:39	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	02/09/2013 18:50:14	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	02/09/2013 18:50:13	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	02/09/2013 18:11:01	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	02/09/2013 18:11:00	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	02/09/2013 17:49:24	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	02/09/2013 17:49:24	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	02/09/2013 17:27:18	administrator	System	Data Forwarding: 172.18.50.81:1479 is connected.	
Information	02/09/2013 17:27:18	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:1479 passed authorization and logon.	
Information	02/09/2013 17:25:37	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:4663 logoff.	
Information	02/09/2013 17:25:37	administrator	System	Data Forwarding: 172.18.50.81:4663 is disconnected.	
Information	02/09/2013 16:31:01	administrator	System	Data forwarding: ProRAE Guardian V1.80 fchen-PC at IP address 172.18.12.73:10916 logoff.	
Information	02/09/2013 16:31:01	administrator	System	Data Forwarding: 172.18.12.73:10916 is disconnected.	
Information	02/09/2013 16:29:05	administrator	System	Data Forwarding: 172.18.50.81:4663 is connected.	
Information	02/09/2013 16:29:05	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:4663 passed authorization and logon.	
Information	02/09/2013 16:02:21	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:2155 logoff.	
Information	02/09/2013 16:02:21	administrator	System	Data Forwarding: 172.18.50.81:2155 is disconnected.	
Information	02/09/2013 15:52:13	administrator	System	Data Forwarding: 172.18.12.73:10916 is connected.	
Information	02/09/2013 15:52:13	administrator	System	Data forwarding: ProRAE Guardian V1.80 fchen-PC at IP address 172.18.12.73:10916 passed authorization and logon.	
Information	02/09/2013 15:51:52	administrator	System	Data forwarding: ProRAE Guardian V1.80 fchen-PC at IP address 172.18.12.73:10294 logoff.	
Information	02/09/2013 15:51:52	administrator	System	Data Forwarding: 172.18.12.73:10294 is disconnected.	
Information	02/09/2013 15:45:04	administrator	System	Data Forwarding: 172.18.12.73:10294 is connected.	
Information	02/09/2013 15:45:04	administrator	System	Data forwarding: ProRAE Guardian V1.80 fchen-PC at IP address 172.18.12.73:10294 passed authorization and logon.	
Information	02/09/2013 15:35:03	administrator	System	Data Forwarding: 172.18.50.81:2155 is connected.	
Information	02/09/2013 15:35:03	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:2155 passed authorization and logon.	
Information	02/09/2013 15:22:52	administrator	System	Data forwarding: ProRAE Guardian V1.80 fchen-PC at IP address 172.18.12.73:7431 logoff.	
Information	02/09/2013 15:22:52	administrator	System	Data Forwarding: 172.18.12.73:7431 is disconnected.	
Information	02/09/2013 14:57:04	administrator	System	Data Forwarding: 172.18.13.84:56333 is connected.	
Information	02/09/2013 14:57:04	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sf-public at IP address 172.18.13.84:56333 passed authorization and logon.	
Information	02/09/2013 14:53:00	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sf-public at IP address 172.18.13.84:49285 logoff.	
Information	02/09/2013 14:53:00	administrator	System	Data Forwarding: 172.18.13.84:49285 is disconnected.	
Information	02/09/2013 14:47:56	administrator	System	Data forwarding: ProRAE Guardian V1.80 fchen-PC at IP address 172.18.12.73:7431 passed authorization and logon.	
Information	02/09/2013 14:47:55	administrator	System	Data Forwarding: 172.18.12.73:7431 is connected.	
Information	02/09/2013 10:51:36	administrator	System	Router(F082000008) goes online.	
Information	02/09/2013 10:42:12	administrator	System	RAEPoint Switch(0021) goes online.	
Information	02/09/2013 10:26:21	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:4755 logoff.	
Information	02/09/2013 10:26:21	administrator	System	Data Forwarding: 172.18.50.81:4755 is disconnected.	
Information	02/09/2013 09:51:14	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sw-wlxu at IP address 172.18.50.30:14886 logoff.	
Information	02/09/2013 09:51:14	administrator	System	Data Forwarding: 172.18.50.30:14886 is disconnected.	
Information	02/09/2013 09:45:28	administrator	System	Data Forwarding: 172.18.50.30:14886 is connected.	
Information	02/09/2013 09:45:28	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sw-wlxu at IP address 172.18.50.30:14886 passed authorization and logon.	
Information	02/09/2013 05:40:08	administrator	System	Data Forwarding: 172.18.50.81:4755 is connected.	
Information	02/09/2013 05:40:08	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:4755 passed authorization and logon.	
Information	02/09/2013 05:38:27	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:2683 logoff.	
Information	02/09/2013 05:38:27	administrator	System	Data Forwarding: 172.18.50.81:2683 is disconnected.	
Information	02/09/2013 00:16:25	administrator	System	Data Forwarding: 172.18.50.81:2683 is connected.	
Information	02/09/2013 00:16:25	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:2683 passed authorization and logon.	
Information	02/09/2013 00:14:44	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:4024 logoff.	
Information	02/09/2013 00:14:44	administrator	System	Data Forwarding: 172.18.50.81:4024 is disconnected.	
Alarm	01/09/2013 19:53:48	administrator	System	Router(F082000008) is offline.	
Information	01/09/2013 19:46:20	administrator	System	Router(F082000008) goes online.	
Alarm	01/09/2013 17:36:48	administrator	System	Router(F082000008) is offline.	
Information	01/09/2013 00:36:51	administrator	System	MultiRAE Pro(0000005678) goes online.	
Information	01/09/2013 00:36:44	administrator	System	Router(F082000000) goes online.	
Information	31/08/2013 19:10:32	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	31/08/2013 19:10:32	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Alarm	31/08/2013 05:21:49	administrator	System	Router(F082000000) is offline.	
Alarm	31/08/2013 05:18:49	administrator	System	MultiRAE Pro(0000005678) is offline.	
Information	31/08/2013 04:33:59	administrator	System	MultiRAE Pro(0000005678) goes online.	
Information	31/08/2013 04:33:37	administrator	System	ToxiRAE Pro(G021001237) goes online.	
Alarm	31/08/2013 04:33:37	administrator	System	ToxiRAE Pro(G021001237) is in alarm: [LEL: NEG ]	
Information	31/08/2013 04:24:41	administrator	System	Router(F082000000) goes online.	
Information	31/08/2013 02:37:51	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:4024 passed authorization and logon.	
Information	31/08/2013 02:37:46	administrator	System	Data Forwarding: 172.18.50.81:4024 is connected.	
Information	31/08/2013 02:36:05	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:1225 logoff.	
Information	31/08/2013 02:36:05	administrator	System	Data Forwarding: 172.18.50.81:1225 is disconnected.	
Information	30/08/2013 18:57:27	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	30/08/2013 18:57:26	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	30/08/2013 17:02:04	administrator	System	Data Forwarding: 172.18.50.81:1225 is connected.	
Information	30/08/2013 17:02:04	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:1225 passed authorization and logon.	
Information	30/08/2013 17:00:18	administrator	System	Data forwarding: ProRAE Guardian V1.60 w-rec-kren at IP address 172.18.50.81:4770 logoff.	
Information	30/08/2013 17:00:18	administrator	System	Data Forwarding: 172.18.50.81:4770 is disconnected.	
Information	30/08/2013 16:14:41	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:16104 logoff.	
Information	30/08/2013 16:14:41	administrator	System	Data Forwarding: 172.18.50.149:16104 is disconnected.	
Alarm	30/08/2013 15:30:48	administrator	System	Router(F082000000) is offline.	
Alarm	30/08/2013 15:26:48	administrator	System	MultiRAE Pro(0000005678) is offline.	
Alarm	30/08/2013 15:24:48	administrator	System	ToxiRAE Pro(G021001237) is offline.	
Information	30/08/2013 15:22:03	administrator	System	MultiRAE Pro(0000005678) goes online.	
Information	30/08/2013 15:21:48	administrator	System	ToxiRAE Pro(G021001237) goes online.	
Alarm	30/08/2013 15:21:48	administrator	System	ToxiRAE Pro(G021001237) is in alarm: [LEL: NEG ]	
Information	30/08/2013 15:21:47	administrator	System	ToxiRAE Pro(G021001241) goes online.	
Alarm	30/08/2013 15:21:47	administrator	System	ToxiRAE Pro(G021001241) is in alarm: [CO: CAL ]	
Information	30/08/2013 15:12:28	administrator	System	Router(F082000000) goes online.	
Information	30/08/2013 14:08:13	administrator	System	Data Forwarding: 172.18.50.149:16104 is connected.	
Information	30/08/2013 14:08:13	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:16104 passed authorization and logon.	
Information	30/08/2013 14:04:00	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15944 logoff.	
Information	30/08/2013 14:04:00	administrator	System	Data Forwarding: 172.18.50.149:15944 is disconnected.	
Information	30/08/2013 14:02:25	administrator	System	Data Forwarding: 172.18.50.149:15944 is connected.	
Information	30/08/2013 14:02:25	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15944 passed authorization and logon.	
Information	30/08/2013 13:54:03	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:45716 logoff.	
Information	30/08/2013 13:54:03	administrator	System	Data Forwarding: 172.18.12.73:45716 is disconnected.	
Information	30/08/2013 13:53:57	administrator	System	Data Forwarding: 172.18.12.73:45716 is connected.	
Information	30/08/2013 13:53:57	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:45716 passed authorization and logon.	
Information	30/08/2013 13:51:10	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15491 logoff.	
Information	30/08/2013 13:51:10	administrator	System	Data Forwarding: 172.18.50.149:15491 is disconnected.	
Information	30/08/2013 13:50:48	administrator	System	Data Forwarding: 172.18.50.149:15491 is connected.	
Information	30/08/2013 13:50:48	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15491 passed authorization and logon.	
Information	30/08/2013 13:50:16	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15417 logoff.	
Information	30/08/2013 13:50:16	administrator	System	Data Forwarding: 172.18.50.149:15417 is disconnected.	
Information	30/08/2013 13:49:10	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15417 passed authorization and logon.	
Information	30/08/2013 13:49:09	administrator	System	Data Forwarding: 172.18.50.149:15417 is connected.	
Information	30/08/2013 13:42:44	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15278 logoff.	
Information	30/08/2013 13:42:44	administrator	System	Data Forwarding: 172.18.50.149:15278 is disconnected.	
Information	30/08/2013 13:42:02	administrator	System	Data Forwarding: 172.18.50.149:15278 is connected.	
Information	30/08/2013 13:42:02	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15278 passed authorization and logon.	
Information	30/08/2013 13:40:09	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15263 logoff.	
Information	30/08/2013 13:40:09	administrator	System	Data Forwarding: 172.18.50.149:15263 is disconnected.	
Information	30/08/2013 13:39:48	administrator	System	Data Forwarding: 172.18.50.149:15263 is connected.	
Information	30/08/2013 13:39:48	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15263 passed authorization and logon.	
Information	30/08/2013 13:39:17	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15250 logoff.	
Information	30/08/2013 13:39:17	administrator	System	Data Forwarding: 172.18.50.149:15250 is disconnected.	
Information	30/08/2013 13:38:14	administrator	System	Data Forwarding: 172.18.50.149:15250 is connected.	
Information	30/08/2013 13:38:14	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15250 passed authorization and logon.	
Information	30/08/2013 13:37:43	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15234 logoff.	
Information	30/08/2013 13:37:43	administrator	System	Data Forwarding: 172.18.50.149:15234 is disconnected.	
Information	30/08/2013 13:37:01	administrator	System	Data Forwarding: 172.18.50.149:15234 is connected.	
Information	30/08/2013 13:37:01	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:15234 passed authorization and logon.	
Information	30/08/2013 13:11:20	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:14248 logoff.	
Information	30/08/2013 13:11:20	administrator	System	Data Forwarding: 172.18.50.149:14248 is disconnected.	
Alarm	30/08/2013 13:01:48	administrator	System	RAEPoint Switch(0021) is offline.	
Information	30/08/2013 13:01:43	administrator	System	Data Forwarding: 172.18.50.149:14248 is connected.	
Information	30/08/2013 13:01:43	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:14248 passed authorization and logon.	
Information	30/08/2013 12:58:27	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:14061 logoff.	
Information	30/08/2013 12:58:27	administrator	System	Data Forwarding: 172.18.50.149:14061 is disconnected.	
Information	30/08/2013 12:54:54	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:14061 passed authorization and logon.	
Information	30/08/2013 12:54:53	administrator	System	Data Forwarding: 172.18.50.149:14061 is connected.	
Information	30/08/2013 12:43:38	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:13696 logoff.	
Information	30/08/2013 12:43:38	administrator	System	Data Forwarding: 172.18.50.149:13696 is disconnected.	
Information	30/08/2013 12:42:56	administrator	System	Data Forwarding: 172.18.50.149:13696 is connected.	
Information	30/08/2013 12:42:56	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:13696 passed authorization and logon.	
Information	30/08/2013 12:39:19	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:13680 logoff.	
Information	30/08/2013 12:39:19	administrator	System	Data Forwarding: 172.18.50.149:13680 is disconnected.	
Information	30/08/2013 12:39:02	administrator	System	Data Forwarding: 172.18.50.149:13680 is connected.	
Information	30/08/2013 12:39:02	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:13680 passed authorization and logon.	
Information	30/08/2013 12:33:14	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:13525 logoff.	
Information	30/08/2013 12:33:14	administrator	System	Data Forwarding: 172.18.50.149:13525 is disconnected.	
Information	30/08/2013 12:30:47	administrator	System	Data Forwarding: 172.18.50.149:13525 is connected.	
Information	30/08/2013 12:30:47	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:13525 passed authorization and logon.	
Information	30/08/2013 12:30:11	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:9618 logoff.	
Information	30/08/2013 12:30:11	administrator	System	Data Forwarding: 172.18.50.149:9618 is disconnected.	
Information	30/08/2013 11:24:14	administrator	System	Data Forwarding: 172.18.50.149:9618 is connected.	
Information	30/08/2013 11:24:14	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:9618 passed authorization and logon.	
Information	30/08/2013 11:05:20	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:9188 logoff.	
Information	30/08/2013 11:05:20	administrator	System	Data Forwarding: 172.18.50.149:9188 is disconnected.	
Information	30/08/2013 11:02:11	administrator	System	Data Forwarding: 172.18.50.149:9188 is connected.	
Information	30/08/2013 11:02:11	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:9188 passed authorization and logon.	
Information	30/08/2013 11:00:53	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:9170 logoff.	
Information	30/08/2013 11:00:53	administrator	System	Data Forwarding: 172.18.50.149:9170 is disconnected.	
Information	30/08/2013 11:00:36	administrator	System	Data Forwarding: 172.18.50.149:9170 is connected.	
Information	30/08/2013 11:00:36	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:9170 passed authorization and logon.	
Information	30/08/2013 09:18:35	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:6908 logoff.	
Information	30/08/2013 09:18:35	administrator	System	Data Forwarding: 172.18.50.149:6908 is disconnected.	
Information	30/08/2013 09:08:00	administrator	System	Data Forwarding: 172.18.50.149:6908 is connected.	
Information	30/08/2013 09:08:00	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:6908 passed authorization and logon.	
Information	30/08/2013 09:07:39	administrator	System	Data Forwarding: 172.18.50.149:6906 is disconnected.	
Information	30/08/2013 09:07:28	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:6759 logoff.	
Information	30/08/2013 09:07:28	administrator	System	Data Forwarding: 172.18.50.149:6759 is disconnected.	
Information	30/08/2013 09:07:28	administrator	System	Data Forwarding: 172.18.50.149:6906 is connected.	
Information	30/08/2013 09:03:22	administrator	System	Data Forwarding: 172.18.50.149:6759 is connected.	
Information	30/08/2013 09:03:22	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:6759 passed authorization and logon.	
Information	30/08/2013 09:03:12	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sw-wlxu at IP address 172.18.50.41:34818 logoff.	
Information	30/08/2013 09:03:12	administrator	System	Data Forwarding: 172.18.50.41:34818 is disconnected.	
Information	30/08/2013 09:02:41	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:6749 logoff.	
Information	30/08/2013 09:02:41	administrator	System	Data Forwarding: 172.18.50.149:6749 is disconnected.	
Information	30/08/2013 09:02:35	administrator	System	Data Forwarding: 172.18.50.149:6749 is connected.	
Information	30/08/2013 09:02:35	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:6749 passed authorization and logon.	
Information	30/08/2013 09:01:11	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.149:6661 logoff.	
Information	30/08/2013 09:01:11	administrator	System	Data Forwarding: 172.18.50.149:6661 is disconnected.	
Information	30/08/2013 09:00:54	administrator	System	Data Forwarding: 172.18.50.41:34818 is connected.	
Information	30/08/2013 09:00:54	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sw-wlxu at IP address 172.18.50.41:34818 passed authorization and logon.	
Information	30/08/2013 08:57:58	administrator	System	Data Forwarding: 172.18.50.149:6661 is connected.	
